"series_url","series","season","winner","margin"
"http://www.espncricinfo.com/ci/engine/series/60960.html","Wills Triangular Series (Australia, Pakistan, South Africa in Pakistan)","1994/95","Australia",""
"http://www.espncricinfo.com/ci/engine/series/60962.html","Wills World Series (India, New Zealand, West Indies in India)","1994/95","India",""
"http://www.espncricinfo.com/ci/engine/series/60963.html","Sri Lanka in Zimbabwe ODI Series","1994/95","Sri Lanka","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60961.html","West Indies in India ODI Series","1994/95","India","4-1 (5)"
"http://www.espncricinfo.com/ci/engine/series/60964.html","Benson & Hedges World Series (Australia, Australia A, England, Zimbabwe in Australia)","1994/95","Australia",""
"http://www.espncricinfo.com/ci/engine/series/60965.html","Mandela Trophy (New Zealand, Pakistan, South Africa, Sri Lanka in South Africa)","1994/95","South Africa",""
"http://www.espncricinfo.com/ci/engine/series/60966.html","West Indies in New Zealand ODI Series","1994/95","West Indies","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60967.html","New Zealand Centenary Tournament (Australia, India, New Zealand, South Africa)","1994/95","Australia",""
"http://www.espncricinfo.com/ci/engine/series/60968.html","Pakistan in Zimbabwe ODI Series","1994/95","drawn","1-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60969.html","Australia in West Indies ODI Series","1994/95","West Indies","4-1 (5)"
"http://www.espncricinfo.com/ci/engine/series/60970.html","Sri Lanka in New Zealand ODI Series","1994/95","New Zealand","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60971.html","Pepsi Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in United Arab Emirates)","1994/95","India",""
"http://www.espncricinfo.com/ci/engine/series/60972.html","Texaco Trophy (West Indies in England)","1995","England","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60973.html","Sri Lanka in Pakistan ODI Series","1995/96","Sri Lanka","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60974.html","Singer Champions Trophy (Pakistan, Sri Lanka, West Indies in United Arab Emirates)","1995/96","Sri Lanka",""
"http://www.espncricinfo.com/ci/engine/series/60975.html","South Africa in Zimbabwe ODI Series","1995/96","South Africa","2-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60976.html","New Zealand in India ODI Series","1995/96","India","3-2 (5)"
"http://www.espncricinfo.com/ci/engine/series/60977.html","Pakistan in New Zealand ODI Series","1995/96","drawn","2-2 (4)"
"http://www.espncricinfo.com/ci/engine/series/60978.html","Benson & Hedges World Series (Australia, Sri Lanka, West Indies in Australia)","1995/96","Australia",""
"http://www.espncricinfo.com/ci/engine/series/60979.html","England in South Africa ODI Series","1995/96","South Africa","6-1 (7)"
"http://www.espncricinfo.com/ci/engine/series/60980.html","Zimbabwe in New Zealand ODI Series","1995/96","New Zealand","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60981.html","Wills World Cup (in India/Pakistan/Sri Lanka)","1995/96","Sri Lanka",""
"http://www.espncricinfo.com/ci/engine/series/60982.html","New Zealand in West Indies ODI Series","1995/96","West Indies","3-2 (5)"
"http://www.espncricinfo.com/ci/engine/series/60983.html","Singer Cup (India, Pakistan, Sri Lanka in Singapore)","1995/96","Pakistan",""
"http://www.espncricinfo.com/ci/engine/series/60985.html","Sri Lanka in West Indies ODI Match","1995/96","Sri Lanka","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60984.html","Pepsi Sharjah Cup (India, Pakistan, South Africa in United Arab Emirates)","1995/96","South Africa",""
"http://www.espncricinfo.com/ci/engine/series/60986.html","Texaco Trophy (India in England)","1996","England","2-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60988.html","Texaco Trophy (Pakistan in England)","1996","England","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60987.html","Singer World Series (Australia, India, Sri Lanka, Zimbabwe in Sri Lanka)","1996","Sri Lanka",""
"http://www.espncricinfo.com/ci/engine/series/60989.html","Sahara 'Friendship' Cup (India, Pakistan in Canada)","1996","Pakistan","3-2 (5)"
"http://www.espncricinfo.com/ci/engine/series/60990.html","KCA Centenary Tournament (Kenya, Pakistan, South Africa, Sri Lanka in Kenya)","1996/97","South Africa",""
"http://www.espncricinfo.com/ci/engine/series/60992.html","Zimbabwe in Pakistan ODI Series","1996/97","Pakistan","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60991.html","Titan Cup (Australia, India, South Africa in India)","1996/97","India",""
"http://www.espncricinfo.com/ci/engine/series/60993.html","Singer Champions Trophy (New Zealand, Pakistan, Sri Lanka in United Arab Emirates)","1996/97","Pakistan",""
"http://www.espncricinfo.com/ci/engine/series/60994.html","New Zealand in Pakistan ODI Series","1996/97","Pakistan","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60996.html","Mohinder Amarnath Benefit Match (South Africa in India)","1996/97","India",""
"http://www.espncricinfo.com/ci/engine/series/60997.html","England in Zimbabwe ODI Series","1996/97","Zimbabwe","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60995.html","Carlton & United Series (Australia, Pakistan, West Indies in Australia)","1996/97","Pakistan",""
